	ID	PROCESSED_TITLE	CATEGORY
9388	205737	is it worth making  the amazing spider man 0  	e
8260	182926	lupita nyong o s met gala 0 dress takes the theme very literally	e
7391	26499	obama to appear on the ellen show to talk obamacare  maybe dance	e
7583	107422	matthew tolmach   matthew tolmach  spider man a  crown jewel 	e
4345	24294	italy   factors to watch on march 0	b
9145	111864	obamacare coverage estimate unchanged by us budget office	b
4267	81123	iex welcomes high frequency traders  as long as they behave  0 	b
3091	114559	mtv movie awards 0 hair   makeup    let s discuss the hits and misses     	e
4221	162098	new york  ap  — people magazine has named lupita nyong o as the     	e
8343	416591	of course rihanna and eminem did the ice bucket challenge with an audience	e
3688	277165	boj keeps policy steady  revises up view on overseas growth	b
3903	14119	cosmos squashes creationism under the weight of evidence	t
8733	192812	adecco rallies as european shares advance	b
7150	365204	sarah palin is publicly auditioning to join  the view 	e
8086	82607	every suit barney s ever worn on  how i met your mother 	e
6478	402886	girls star allison williams to play peter pan	e
7541	104982	greek central bank chief says wants second term	b
7003	270839	jonah hill   jonah hill sorry for  disgusting  gay jibe	e
3451	278243	smoke aboard space station traced to water heater	t
277	371810	china june cpi rises 0 0 pct y y  slightly less than forecast	b
3117	418817	imf chief lagarde under investigation in french fraud case	b
5377	144158	animal welfare activists picket liam neeson s home over new york city horse     	e
3013	245173	forex euro falls to 0 month low on german data  eu election uncertainty	b
8582	111261	captain america   captain america sequel defends us box office title for     	e
4476	322255	global markets stocks down on fed official s rate hike call  sterling up	b
9667	154948	happy birthday  bill 	e
3185	273356	update 0 jm smucker hikes coffee prices for first time in 0 years	b
4046	173253	euro bounces back after expected inflation dip	b
3400	356503	slump in erste bank halts european stocks rally	b
3908	307833	global markets gloomy french data hits european shares  iraq keeps oil high	b
1953	197660	update 0 snapchat settles with ftc  faces 0 years privacy oversight	t
1116	175647	emma stone   emma stone loves andrew garfield  very much 	e
5602	207112	health officials confirm second mers case in u s 	m
6734	265027	robert pattinson   rachel weisz in talks to star in  idol s eyes 	e
5839	304277	kim kardashian s rope dress was made for a cannes lions yacht party	e
8502	58324	chris martin s dad reveals his son   gwyneth paltrow s split is  amicable 	e
142	14249	honda recalls over 0 odyssey minivans	t
3107	201819	michael jackson belts it out in  blue gangsta    listen to supercharged new track	e
1251	324937	beyonce   beyonce unveils wedding video	e
8111	116464	0 myths about high frequency trading	b
2698	15877	japan yet to decide on bitcoin rules amid money laundering risk	b
624	311119	fitch affirms hsbc s covered bonds at  aaa  on implementation of updated     	b
4039	245053	former sac  och ziff manager said to consider own hedge fund  0 	b
5677	101737	colin kaepernick slams tmz  denies sexual assault rumors	b
6294	236395	hugh jackman got up close and personal with a sock for his nude scene in     	e
691	85743	chris martin   chris martin   affair report is totally untrue 	e
2740	308402	ftseurofirst hits 0 0 0 yr high  takeover offer boosts shire	b
5297	387748	builder optimism signals us housing starts will rebound	b
931	244837	women feel more stress at home than at work  study finds	m
9846	118334	ice cube jokes that paul walker  robbed  him of an mtv movie award	e
2364	96389	us stocks fall with europe as jpmorgan misses  treasuries rise	b
7011	322477	argentina deposits  0 billion for june 0 bond payments	b
4000	290206	gazprom ceo accuses ukraine of being  unconstructive  in gas talks	b
5804	342419	mark ruffalo doesn t read internet comments either	e
1339	334291	update 0 philips spins off lighting components businesses	b
491	383358	treasury volatility drops on yellen low rates message	b
1297	289915	williams s  0 billion access midstream deal fueled by fracking	b
7952	107299	update 0 outkast goes back to 0s hip hop at coachella reunion	e
2083	175850	hey star wars    where the hell are the women 	e
6700	63795	wall st rallies  s p 0 close to break even for week	b
7961	353290	china blocks flickr  messaging apps as censorship rises  greatfire	b
5802	348485	oil falls as libyan supply seen rising  iraq output remains safe	b
6463	332826	kim kardashian   kim kardashian and kanye west want  bigger  nyc home	e
10151	26196	update 0 gm must pay for pre bankrutpcy ignition deception  lawsuit	t
9283	143831	jack white records  releases single in hours	e
3248	270898	amid racism storm  justin bieber is defended by floyd mayweather jr	e
4942	350054	nasa launches orbiting carbon observatory 0 satellite to monitor     	t
4559	149832	economic policy in a post piketty world	b
2632	274987	miranda lambert   miranda lambert will tour before baby	e
7456	6330	first look at the flash s costume  grant gustin rocks the maroon and gold suit	e
475	119153	film rumor  brad pitt to produce star in stanley mcchrystal biopic  the operators	e
6927	15029	tyler the creator   tyler the creator arrested in austin  texas	e
29	14591	jamie lynn spears marries james watson in new orleans wedding	e
9480	125454	us stocks wall st up on chinese and us data  yellen comments	b
3579	101851	fitch affirms voronezh region at  bb    outlook stable	b
5630	410291	mobileye shares rise 0 pct in bumper debut	b
3638	294173	bg sells stake in north sea pipe network for  0 million	b
4695	276227	china may home sales decline 0  on weak buying sentiment	b
3852	348602	japan s topix posts highest close in 0 months on tankan	b
2775	132241	us stocks rise while treasuries decline on ukraine  earnings	b
4604	49303	wu tang clan   rappers wu tang clan to sell one copy of special album	e
4706	201946	what i ve learned from my mom  in the middle of three generations	e
9044	104283	paul walker tribute will take place at 0 mtv movie awards	e
7880	283874	ford lowering fuel economy estimates for 0 vehicles	t
5225	63155	zac efron attacked in la s skid row	e
1154	146907	update 0 ackman  valeant team up to bid for allergan in unusual pairing	b
1908	339172	swiss regulator probing management  staff at bnp geneva unit	b
7582	340975	euro back around  0 0 as ecb meets again	b
9968	280895	robin thicke   robin thicke names album after estranged wife	e
3028	338700	rpt fitch affirms 0 vietnamese banks at  b   revises outlook of acb	b
8980	183092	women in entertainment breakfast pulled from beverly hills hotel over gay     	e
898	331472	you may have been a lab rat in a huge facebook experiment	t
812	344702	telefonica wins conditional eu approval for e plus deal	b
5629	412165	argentina s wall street fixers joined by deutsche bank for talks	b
2615	155591	barclays will post small decline in first quarter profit  0 	b
3562	132837	japan makes two more oil payments to iran sources	b
3569	342648	pippa middleton   pippa middleton embarrassed by royal wedding dress hype	e
5722	111889	update 0 ecb prepared to ease if inflation low for too long   noyer	b
3670	116696	more time to file  not pay	b
771	392839	apple puts ibm rivalry to rest with corporate sales deal	t
563	358669	lea michele   lea michele a victim of twitter com pregnancy hoax	e
