	ID	TITLE	URL	PUBLISHER	CATEGORY	STORY	HOSTNAME	TIMESTAMP
9388	205737	Is It Worth Making 'The Amazing Spider-Man 3'?	http://www.contactmusic.com/article/the-amazing-spider-man-3-sony-2016_4191104	Contactmusic.com	e	dcFQ_xvmE3-VpcM8saWye0hrLglFM	www.contactmusic.com	1399916835146
8260	182926	Lupita Nyong'o's Met Gala 2014 Dress Takes The Theme Very Literally	http://www.huffingtonpost.com/2014/05/05/lupita-nyongo-met-gala-2014-dress-photos_n_5269526.html\?ir=Style	Huffington Post	e	dbfJRt2YOiGnSoMC7S8yBd9gQohiM	www.huffingtonpost.com	1399382219441
7391	26499	Obama To Appear On The Ellen Show To Talk Obamacare, Maybe Dance	http://www.huffingtonpost.com/2014/03/19/obama-ellen_n_4993819.html\?utm_hp_ref=politics	Huffington Post	e	dEiTXeue2wtzgtMcUqXSBh9lVBrrM	www.huffingtonpost.com	1395327726887
7583	107422	Matthew Tolmach - Matthew Tolmach: Spider-Man a 'crown jewel'	http://www.contactmusic.com/story/matthew-tolmach-spider-man-a-crown-jewel_4150904	Contactmusic.com	e	dJp791DQ03ZYyaMyzgeACyBjvh3wM	www.contactmusic.com	1397356304630
4345	24294	Italy - Factors to watch on March 20	http://in.reuters.com/article/2014/03/20/italy-factors-march-idINL6N0MB2CE20140320	Reuters	b	dAYENP5WxlnkP9MU2yDD-4yOWUHtM	in.reuters.com	1395315849061
9145	111864	Obamacare Coverage Estimate Unchanged by US Budget Office	http://www.businessweek.com/news/2014-04-14/obamacare-coverage-estimate-unchanged-by-u-dot-s-dot-budget-office	Businessweek	b	d7xLBu8dlpyNObMD5NLiq_NaKGD9M	www.businessweek.com	1397506797574
4267	81123	IEX Welcomes High-Frequency Traders, as Long as They Behave (1)	http://www.businessweek.com/news/2014-03-31/iex-welcomes-high-speed-traders-as-long-as-they-behave	Businessweek	b	dO3c_l6rDHPCyUMwGkgPUf37F1LfM	www.businessweek.com	1396433784971
3091	114559	MTV Movie Awards 2014 Hair & Makeup -- Let's Discuss The Hits And Misses  ...	http://www.huffingtonpost.com/2014/04/14/mtv-movie-awards-2014-hair-makeup_n_5143842.html	Huffington Post	e	dKhQ_kovkpnM4kM5JilSeoYFHK_OM	www.huffingtonpost.com	1397518887172
4221	162098	NEW YORK (AP) — People magazine has named Lupita Nyong'o as the  ...	http://www.huffingtonpost.com/huff-wires/20140423/us--people-lupita-nyong-o/\?utm_hp_ref=arts&amp;ir=arts	Huffington Post	e	dIe3KCS53sbt0qMhfjKnQAveco2AM	www.huffingtonpost.com	1398410666886
8343	416591	Of Course Rihanna And Eminem Did The Ice Bucket Challenge With An Audience	http://www.huffingtonpost.com/2014/08/25/eminem-rihanna-ice-bucket-challenge_n_5708293.html\?utm_hp_ref=entertainment	Huffington Post	e	dXfATHLvmd9iCUMfMSU3nmTZuv34M	www.huffingtonpost.com	1409029117070
3688	277165	BOJ keeps policy steady, revises up view on overseas growth	http://in.reuters.com/article/2014/06/13/japan-economy-boj-idINT9N0OJ03X20140613	Reuters	b	dg4HiUAwvKCFFXMTgu0vG9AblP7JM	in.reuters.com	1402659326829
3903	14119	Cosmos Squashes Creationism Under the Weight of Evidence	http://www.huffingtonpost.com/dan-arel/cosmos-creationism_b_4976982.html	Huffington Post	t	dOKzg6hvjXeqezM1pXxmzKJJykyLM	www.huffingtonpost.com	1395061803676
8733	192812	Adecco rallies as European shares advance	http://in.reuters.com/article/2014/05/08/markets-europe-stocks-idINL6N0NU1OX20140508	Reuters	b	dj2gaJQ71DfKWyMRvKbZUWIkrAKLM	in.reuters.com	1399562360795
7150	365204	Sarah Palin Is Publicly Auditioning To Join 'The View'	http://www.huffingtonpost.com/2014/07/07/sarah-palin-the-view_n_5563407.html\?utm_hp_ref=politics&amp;ir=Politics	Huffington Post	e	dZ271I3CWKnHIKMP2vI1sE-11XhVM	www.huffingtonpost.com	1404761239035
8086	82607	Every Suit Barney's Ever Worn On 'How I Met Your Mother'	http://www.huffingtonpost.com/2014/04/01/barney-suits-himym_n_5071831.html	Huffington Post	e	domgMcN6PevYK4MKxueXWx7XvCHTM	www.huffingtonpost.com	1396440485930
6478	402886	Girls Star Allison Williams To Play Peter Pan	http://www.contactmusic.com/article/allison-williams-peter-pan_4306690	Contactmusic.com	e	dhjYBAAXM5LZmzMOKOk9--4LddeuM	www.contactmusic.com	1406791818383
7541	104982	Greek central bank chief says wants second term	http://in.reuters.com/article/2014/04/11/greece-cenbank-idINA8N0AR02N20140411	Reuters	b	dfNPTcuxcU6IQ3MiassqlnTPf7BrM	in.reuters.com	1397345377353
7003	270839	Jonah Hill - Jonah Hill Sorry For 'Disgusting' Gay Jibe	http://www.contactmusic.com/story/jonah-hill-sorry-for-disgusting-gay-jibe_4227553	Contactmusic.com	e	dpeg-88KOPopnnMA4Id4nr9IXJFbM	www.contactmusic.com	1401830459368
3451	278243	Smoke Aboard Space Station Traced To Water Heater	http://www.huffingtonpost.com/2014/06/11/space-station-smoke-water-heater_n_5484745.html	Huffington Post	t	d-t16LdTqe6UvPML_cubfJn42kQFM	www.huffingtonpost.com	1402669532550
277	371810	China June CPI rises 2.3 pct y/y, slightly less than forecast	http://in.reuters.com/article/2014/07/09/china-economy-cpi-idINZZN027Q7E20140709	Reuters	b	dSKpO-yWIYdNCiMO6VEaOPpk0oP7M	in.reuters.com	1404900844459
